"Temp","Precip","Month","Region"
-4.65483870967742,4.65161290322581,"Jan","St. Johns"
-5.325,4.73571428571429,"Feb","St. Johns"
-2.53225806451613,4.23548387096774,"Mar","St. Johns"
1.25666666666667,3.61666666666667,"Apr","St. Johns"
5.79354838709677,3.25161290322581,"May","St. Johns"
10.7866666666667,3.27,"Jun","St. Johns"
15.2064516129032,2.65161290322581,"Jul","St. Johns"
15.2806451612903,3.82258064516129,"Aug","St. Johns"
11.6233333333333,4.12666666666667,"Sep","St. Johns"
7.01935483870968,4.90967741935484,"Oct","St. Johns"
2.95333333333333,4.78333333333333,"Nov","St. Johns"
-1.84516129032258,4.68064516129032,"Dec","St. Johns"
-6.15806451612903,4.63225806451613,"Jan","Halifax"
-6.18214285714286,4.14642857142857,"Feb","Halifax"
-1.73870967741935,4.13548387096774,"Mar","Halifax"
3.62333333333333,4.01,"Apr","Halifax"
9.44193548387097,3.52903225806452,"May","Halifax"
14.7766666666667,3.12666666666667,"Jun","Halifax"
18.3806451612903,3.02258064516129,"Jul","Halifax"
18.2032258064516,3.40322580645161,"Aug","Halifax"
13.8666666666667,3.20333333333333,"Sep","Halifax"
8.49032258064516,4.12258064516129,"Oct","Halifax"
3.24,5.14,"Nov","Halifax"
-2.98709677419355,5.36451612903226,"Dec","Halifax"
-5.72258064516129,4.76451612903226,"Jan","Sydney"
-6.79642857142857,4.44642857142857,"Feb","Sydney"
-2.93548387096774,4.42258064516129,"Mar","Sydney"
1.85,4.07666666666667,"Apr","Sydney"
7.49677419354839,3.18064516129032,"May","Sydney"
13.14,2.97666666666667,"Jun","Sydney"
17.4870967741935,2.75483870967742,"Jul","Sydney"
17.6354838709677,3.11612903225806,"Aug","Sydney"
13.3066666666667,3.50666666666667,"Sep","Sydney"
8.2741935483871,4.55161290322581,"Oct","Sydney"
3.53333333333333,5.19333333333333,"Nov","Sydney"
-2.02903225806452,5.50967741935484,"Dec","Sydney"
-3.21612903225806,4.02258064516129,"Jan","Yarmouth"
-3.48928571428571,3.63928571428571,"Feb","Yarmouth"
0.151612903225806,3.30967741935484,"Mar","Yarmouth"
4.68666666666667,3.37333333333333,"Apr","Yarmouth"
9.34193548387097,3.09354838709677,"May","Yarmouth"
13.4033333333333,3.04666666666667,"Jun","Yarmouth"
16.2935483870968,2.63870967741935,"Jul","Yarmouth"
16.5967741935484,2.78064516129032,"Aug","Yarmouth"
13.5933333333333,2.95333333333333,"Sep","Yarmouth"
9.24516129032258,3.50967741935484,"Oct","Yarmouth"
4.9,4.51666666666667,"Nov","Yarmouth"
-0.464516129032258,4.64193548387097,"Dec","Yarmouth"
-8.11290322580645,3.42903225806452,"Jan","Charlottvl"
-8.2607142857143,3.23214285714286,"Feb","Charlottvl"
-3.44193548387097,3.02903225806452,"Mar","Charlottvl"
2.31666666666667,2.99333333333333,"Apr","Charlottvl"
8.75806451612903,3.10645161290323,"May","Charlottvl"
14.4433333333333,3.02,"Jun","Charlottvl"
18.2935483870968,2.65806451612903,"Jul","Charlottvl"
17.9774193548387,2.99354838709677,"Aug","Charlottvl"
13.44,3.09,"Sep","Charlottvl"
8.02903225806452,3.66129032258065,"Oct","Charlottvl"
2.57333333333333,4.03,"Nov","Charlottvl"
-4.15161290322581,4.25806451612903,"Dec","Charlottvl"
-9.92258064516129,3.06774193548387,"Jan","Fredericton"
-8.7392857142857,2.88214285714286,"Feb","Fredericton"
-2.58709677419355,3.00645161290323,"Mar","Fredericton"
4.06,2.78666666666667,"Apr","Fredericton"
10.7870967741935,3.02903225806452,"May","Fredericton"
16.2066666666667,2.95,"Jun","Fredericton"
19.2354838709677,2.68709677419355,"Jul","Fredericton"
18.3064516129032,3.14516129032258,"Aug","Fredericton"
13.0033333333333,3.02333333333333,"Sep","Fredericton"
7.3,3.13870967741935,"Oct","Fredericton"
1.17,3.61333333333333,"Nov","Fredericton"
-6.58709677419355,3.73225806451613,"Dec","Fredericton"
-23.7129032258065,1.79032258064516,"Jan","Scheffervll"
-22.375,1.26785714285714,"Feb","Scheffervll"
-15.8806451612903,1.39032258064516,"Mar","Scheffervll"
-7.35,1.67,"Apr","Scheffervll"
0.909677419354839,1.60967741935484,"May","Scheffervll"
8.23333333333333,2.39,"Jun","Scheffervll"
12.3709677419355,3.20322580645161,"Jul","Scheffervll"
10.9483870967742,2.88387096774194,"Aug","Scheffervll"
5.35333333333333,3.11333333333333,"Sep","Scheffervll"
-1.44516129032258,3.03870967741935,"Oct","Scheffervll"
-9.2,2.26666666666667,"Nov","Scheffervll"
-19.6806451612903,1.64838709677419,"Dec","Scheffervll"
-15.358064516129,1.9,"Jan","Arvida"
-13.2321428571429,1.74285714285714,"Feb","Arvida"
-5.82258064516129,1.58387096774194,"Mar","Arvida"
2.95,1.47,"Apr","Arvida"
10.1967741935484,2.4741935483871,"May","Arvida"
16.0033333333333,2.92,"Jun","Arvida"
18.6645161290323,3.61612903225806,"Jul","Arvida"
17.058064516129,3,"Aug","Arvida"
11.95,3.29,"Sep","Arvida"
5.96451612903226,2.30322580645161,"Oct","Arvida"
-1.15666666666667,2.45666666666667,"Nov","Arvida"
-11.0387096774194,2.66129032258065,"Dec","Arvida"
-16.2354838709677,1.96129032258065,"Jan","Bagottville"
-14.3035714285714,1.71785714285714,"Feb","Bagottville"
-6.59032258064516,1.71612903225806,"Mar","Bagottville"
2.26666666666667,1.78,"Apr","Bagottville"
9.32903225806452,2.57741935483871,"May","Bagottville"
15.3733333333333,3.02666666666667,"Jun","Bagottville"
17.9387096774194,3.76129032258065,"Jul","Bagottville"
16.458064516129,3.26451612903226,"Aug","Bagottville"
11.02,3.25666666666667,"Sep","Bagottville"
4.98387096774194,2.56451612903226,"Oct","Bagottville"
-2.35666666666667,2.53,"Nov","Bagottville"
-11.9709677419355,2.39677419354839,"Dec","Bagottville"
-12.7806451612903,2.93225806451613,"Jan","Quebec"
-11.2785714285714,2.53928571428571,"Feb","Quebec"
-4.6741935483871,2.71290322580645,"Mar","Quebec"
3.29333333333333,2.60333333333333,"Apr","Quebec"
